do, 7H05592, 133.52097, valník
oa, 1H79779, 213.53621, modrá
na, 1S66397, 249.96155, 0
na, 8D37195, 60.33999, 0
do, 8R88376, 845.57697, nástavba
tr, 8W41230, 76.39963, 2313309453855484615
na, 6H57747, 335.27206, 0
do, 8A95687, 866.17773, valník
tr, 5Q17009, 874.9274, -4803123658309169716
tr, 6W53369, 871.83673, -8329072023734029565
na, 3D12952, 407.6472, 0
tr, 7P08859, 578.47754, 2237132471288858464
tr, 1O09723, 549.6258, 3634497041727035510
do, 5F89328, 920.7453, nástavba
na, 5J20655, 359.90967, 0
tr, 9K55501, 312.6307, -3502544789537918356
oa, 6N41718, 210.42955, černá
do, 5G52153, 438.52322, valník
na, 1D24925, 77.59619, 0
tr, 7I16242, 80.57809, -8750201514156731174
